radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,BV
143.200071,0.152,-50.004363,0.364,3,8.275,0,8.206,0,-0.069
143.662351,0.606,-50.415148,0.21,4,8.915,0,8.926,0,0.011
142.585039,0.087,-50.309981,0.084,3,9.047,0,10.3,0.055,1.253
142.399279,0.296,-50.322349,0.124,3,9.146,0,9.25,0,0.104
143.077296,0.383,-50.503405,0.452,5,9.315,0,9.437,0,0.122
142.353743,0.212,-50.42403,0.114,3,9.411,0,9.538,0,0.127
143.050413,0.158,-49.915152,0.085,6,9.535,0,10.238,0.042,0.703
143.511973,0.444,-50.43653,0.135,4,9.542,0,10.64,0.032,1.098
143.560641,0.256,-50.244576,0.193,6,9.559,0,9.687,0,0.128
143.172923,0.381,-50.258161,0.2,7,9.688,0,11.336,0.048,1.648
142.916221,0.105,-49.76261,0.075,5,9.75,0,10.078,0.075,0.328
142.44989,0.161,-49.91196,0.21,5,9.802,0,12.593,0.05,2.791
142.43943,0.185,-50.502024,0.134,3,9.87,0,10.636,0.024,0.766
142.970139,0.12,-49.929836,0.088,5,9.878,0,11.019,0.037,1.141
143.316041,0.121,-50.018423,0.179,5,9.938,0.128,10.655,0.036,0.717
142.84002,0.126,-49.927696,0.089,5,9.952,0.099,11.086,0.043,1.134
142.972339,0.123,-50.011295,0.127,5,10.012,0.084,10.031,0.036,0.019
142.544189,0.306,-50.241051,0.146,5,10.025,0.025,10.272,0.037,0.247
142.83178,0.101,-50.511255,0.099,3,10.036,0.011,11.288,0.025,1.252
143.441668,0.105,-50.019401,0.119,5,10.041,0.061,11.056,0.04,1.015
142.397511,0.261,-50.125214,0.082,5,10.113,0.019,10.662,0.031,0.549
142.340603,0.152,-49.952632,0.058,5,10.202,0.026,10.99,0.031,0.788
142.579147,0.102,-49.899761,0.044,5,10.223,0.022,10.914,0.037,0.691
142.618447,0.178,-50.500543,0.842,5,10.279,0.024,10.581,0.041,0.302
143.403014,0.251,-49.806364,0.13,6,10.293,0.024,10.764,0.039,0.471
142.553931,0.213,-50.169395,0.108,5,10.453,0.023,10.875,0.035,0.422
142.46076,0.242,-49.978418,0.205,4,10.458,0.048,13.254,0.055,2.796
143.452656,0.2,-50.12943,0.141,6,10.551,0.024,11.06,0.043,0.509
143.278529,0.244,-50.121874,0.116,6,10.575,0.027,11.278,0.036,0.703
142.794601,0.079,-50.136211,0.136,5,10.632,0.05,12.201,0.053,1.569
143.248099,0.247,-49.988875,0.11,6,10.654,0.012,11.635,0.037,0.981
142.74496,0.134,-50.203772,0.157,5,10.67,0.034,12.007,0.044,1.337
143.118198,0.532,-50.659462,0.488,5,10.751,0.077,11.871,0.037,1.12
142.667236,0.098,-50.091611,0.082,5,10.768,0.036,12.02,0.037,1.252
143.122917,0.527,-50.553939,0.702,7,10.777,0.061,11.892,0.044,1.115
143.181427,0.476,-50.690382,0.528,5,10.78,0.081,11.3,0.038,0.52
