radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
153.367574,0.049,-58.778996,0.407,2,10.033,-0,11.035,-0.002,NA,NA,NA,NA,NA,NA
153.371323,1.046,-58.74949,1.018,2,NA,NA,NA,NA,13.839,1.673,14.719,0.101,14.567,-0
153.374429,0.64,-58.761101,0.718,2,15.541,-0,16.275,-0.071,15.8,-0,15.237,-0,15.073,0.033
153.374728,0.782,-58.665744,1.301,2,14.293,-0,14.925,-0,14.511,0.006,14.066,0.037,13.871,0.025
153.374873,0.394,-58.666318,0.802,2,14.147,-0,14.862,-0,14.533,0,14.017,0,13.798,0
153.377089,1.445,-58.685761,0.706,2,15.537,-0,16.277,-0.109,NA,NA,15.256,-0,15.049,0.032
153.377116,0.541,-58.79846,1.037,3,14.735,0.016,15.271,0.01,14.932,0.028,14.607,0.019,14.546,0.108
153.37988,0.305,-58.746328,1.043,3,12.674,0.031,12.942,0.006,12.732,-0,12.691,-0,12.791,0.072
153.383026,0.379,-58.823933,0.923,3,14.597,0.028,15.326,0.036,14.9,0.03,14.372,0.032,14.258,0.1
153.386422,0.654,-58.737642,1.021,3,13.823,0.037,14.339,0.012,13.994,0.006,13.69,0.006,13.649,0.029
153.38918,0.398,-58.75135,1.542,3,NA,NA,16.2,-0,15.203,-0.029,13.484,-0,12.724,0
153.390003,0.375,-58.765484,1.347,3,14.101,0.06,15.033,0.04,14.543,-0,13.833,-0,13.597,0.021
153.390114,0.499,-58.841352,0.971,3,15.345,-0,16.499,-0,15.871,0.1,14.737,0.065,14.175,0.11
153.392679,1.191,-58.694243,0.886,2,NA,NA,NA,NA,14.159,-0.012,13.08,-0,12.745,0.075
153.392764,0.792,-58.711655,0.981,3,15.157,-0,16.065,-0.088,15.486,0.035,14.876,0.047,14.857,-0
153.394031,0.647,-58.704231,1.25,3,15.639,-0,16.023,-0,15.775,0.067,15.297,0.019,15.143,0.03
153.399085,0.452,-58.833926,0.805,3,15.032,-0,15.983,-0.079,15.429,0.033,14.848,0.017,14.612,0.084
153.403477,0.771,-58.854815,0.933,2,14.16,-0,14.986,-0.035,14.518,-0,13.991,-0,13.705,0.051
153.403849,0.399,-58.811847,0.925,3,NA,NA,NA,NA,16.016,0,15.336,0.035,15.114,0.058
153.40537,0.373,-58.677262,1.398,3,14.823,-0,15.426,-0,15.131,0,14.753,0.066,14.638,0.034
153.413148,0.726,-58.60642,0.948,5,11.982,-0,12.495,-0,12.153,-0.002,11.902,-0,11.879,0.055
153.413457,0.239,-58.867683,0.722,3,12.864,0.028,13.514,0.006,13.116,0.015,12.679,0,12.582,0.054
153.417879,0.547,-58.636546,1.414,2,NA,NA,NA,NA,16.466,-0.094,15.362,-0,14.737,0.01
153.418092,0.426,-58.672827,1.154,3,13.787,-0,14.456,-0,14.072,0.006,13.641,0.01,13.474,0.078
153.419344,0.474,-58.801043,1.013,3,14.483,0.006,15.098,0.01,14.738,0.038,14.311,0.015,14.164,0.025
153.419717,0.224,-58.756428,1.133,3,14.453,0.089,15.119,0.024,14.694,0.014,14.234,-0,14.102,0.045
153.420037,1.422,-58.61868,0.448,2,NA,NA,NA,NA,NA,NA,NA,NA,15.249,0.03
153.421056,1.281,-58.731214,0.68,2,15.892,-0,16.717,-0.157,16.459,-0,15.683,-0,15.828,0.243
153.422469,0.526,-58.643634,1.175,3,14.213,-0,14.689,-0,14.347,0.037,14.157,0.008,14.159,0.066
153.422959,0.618,-58.848379,1.471,3,14.219,0.023,15.665,0.024,14.942,0.079,13.7,0.023,13.075,0.056
153.424414,1.374,-58.594763,0.684,2,NA,NA,NA,NA,16.525,0.084,15.751,-0,15.309,-0
153.42668,0.398,-58.700262,1.034,3,14.205,-0,15.342,-0,14.771,0.016,13.829,0.016,13.531,0.024
153.427778,1.191,-58.560182,0.946,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.430016,1.302,-58.559875,0.892,6,12.927,0,13.845,0.078,13.337,-0,12.634,-0,12.413,0.043
153.430199,0.329,-58.567731,0.619,2,NA,NA,NA,NA,16.731,-0.08,14.678,-0,13.493,0.02
153.432856,0.509,-58.761902,1.601,2,15.694,-0,16.636,-0,16.21,-0.07,15.346,-0,15.055,-0
153.433007,1.156,-58.573762,1.073,2,15.445,-0,16.282,-0,15.795,-0.036,15.457,-0,15.295,-0
153.434004,0.461,-58.727112,1.002,3,13.634,0.052,13.877,0.016,13.671,0.01,13.645,0,13.693,0.082
153.434269,0.785,-58.916165,0.734,3,15.928,0.117,16.739,0.04,16.226,0.05,15.693,0.056,15.48,0.109
153.435464,0.991,-58.545866,0.332,2,14.393,0.008,15.066,0.114,14.703,-0,14.21,-0,NA,NA
153.4375,1.121,-58.82122,1.469,2,NA,NA,NA,NA,16.477,-0.094,15.312,-0,15.215,0.194
153.438334,0.905,-58.65352,0.969,2,14.282,-0,15.078,-0.04,14.534,-0,14.124,-0,13.621,0.013
153.440424,0.728,-58.858043,0.762,3,15.606,-0,16.581,-0,16.054,0.073,15.343,0.029,14.991,0.11
153.440921,0.739,-58.81454,1.149,2,15.46,-0,16.542,-0.141,NA,NA,NA,NA,15.071,-0
153.441101,0.511,-58.699358,1.396,4,13.382,0.018,14.611,0.02,13.945,0.042,12.972,0.013,12.607,0.027
153.44297,0.666,-58.794333,0.548,3,14.969,0,15.834,0,15.314,0.006,14.789,0.013,14.588,0.041
153.443131,0.2,-58.910711,0.685,3,13.316,0.018,13.739,0.006,13.479,0.011,13.257,0.008,13.224,0.058
153.443988,0.307,-58.666989,1.199,3,13.519,-0,13.888,-0,13.659,0,13.462,0.006,13.475,0.055
153.446173,0.361,-58.758511,1.112,3,14.272,0.026,15.029,0.017,14.563,0.042,14.048,0.025,13.862,0.02
153.448759,0.48,-58.846983,0.833,3,12.623,0.035,13.128,0.011,12.805,0.008,12.507,0,12.454,0.049
153.449117,0.436,-58.652522,1.255,3,NA,NA,NA,NA,11.774,-0.002,10.92,0.014,10.682,0.033
153.449341,0.872,-58.713098,1.416,3,16.543,-0,NA,NA,16.897,0.051,16.192,0.011,15.71,-0
153.450287,0.74,-58.896893,1.082,3,14.821,-0,16.572,-0,15.643,-0,14.106,-0,13.451,0.034
153.453065,0.293,-58.914864,0.78,3,12.861,0.042,13.536,0,13.156,0.029,12.66,0.015,12.524,0.058
153.455153,0.408,-58.739546,1.176,3,13.836,0.029,14.497,0.038,14.094,0.01,13.646,0.006,13.503,0.064
153.455676,0.966,-58.696076,0.654,3,15.421,-0,NA,NA,NA,NA,15.095,-0,14.969,0.107
153.4557,0.954,-58.519859,1.076,4,14.464,-0,15.14,-0.03,14.765,-0,14.331,-0,14.17,0.111
153.456002,0.422,-58.88819,0.852,3,13.619,0.021,15.293,0.008,14.451,0.017,13.002,0.015,12.368,0.016
153.458053,0.18,-58.709401,0.899,4,12.844,-0,13.198,0.012,12.959,-0,12.856,-0,12.897,0.067
153.458191,1.014,-58.582804,0.723,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.458444,0.496,-58.878851,0.552,3,13.426,0.041,14.018,0,13.655,0,13.281,0.006,13.231,-0
153.458576,0.913,-58.582712,0.712,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153.45904,0.374,-58.791904,1.427,3,14.432,0,15.046,0.02,14.662,0.037,14.247,0.021,14.138,0.055
