radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
118.857959,1.157,-25.957424,0.61,2,15.155,-0,16.466,-0.063,15.669,0.054,14.532,0.029,14.001,0.021
118.859363,0.75,-25.947164,1.298,2,16.305,0.043,17.024,0.066,16.549,-0,16.461,-0,NA,NA
118.86081,1.102,-25.987672,0.846,3,14.651,0.005,15.217,0.026,14.917,0.011,14.496,0.01,14.447,0.01
118.861659,1.04,-25.936819,0.683,2,NA,NA,16.55,-0,16.296,-0,15.703,-0,15.349,-0.101
118.864547,1.109,-26.036914,0.383,3,13.938,0.037,14.389,0.057,14.125,0.019,13.84,0.048,13.818,0.115
118.86485,1.243,-25.973183,0.558,2,15.798,-0,16.59,-0.07,16.177,0.026,15.596,0.057,15.509,-0
118.866114,0.936,-25.965395,0.421,2,15.148,0.021,15.85,0.105,15.45,0.008,14.987,0.042,15.063,-0
118.867051,0.208,-25.873659,0.316,2,13.587,0.005,13.723,0.015,13.571,0.013,13.605,0.016,13.794,0.075
118.867635,0.402,-25.92219,0.434,2,14.818,0.022,15.49,0.048,15.084,0.008,14.594,0.008,14.473,0.023
118.869299,0.211,-26.054022,0.068,2,12.341,0.012,12.827,0.006,12.542,0.024,12.222,0.021,12.189,0.034
118.869878,0.213,-25.933236,0.262,2,13.986,0.008,14.705,0.035,14.298,0,13.768,0.041,13.678,0.026
118.869997,0.481,-25.864319,0.661,2,13.893,0.008,14.079,0.01,13.901,0.028,13.945,0.043,14.149,0.057
118.871584,0.133,-25.951479,0.196,2,13.276,0.01,14.35,0,13.797,0.008,12.907,0.024,12.537,0.045
118.872644,1.045,-26.035848,0.842,2,15.723,-0,16.05,-0.041,15.795,-0,NA,NA,NA,NA
118.87361,0.071,-26.062065,0.911,2,NA,NA,NA,NA,NA,NA,NA,NA,12.618,0.08
118.873853,0.596,-25.840341,0.572,2,15.169,0.033,16.379,0.037,15.691,0.008,14.718,0.017,14.456,0.03
118.874781,0.132,-25.854234,0.062,2,10.793,0.009,11.179,0.009,10.92,0.017,10.714,0.02,10.74,0.056
118.875397,0.467,-26.079893,0.384,2,15.147,0.053,16.561,0.032,15.821,0,14.586,0.014,13.994,0.111
118.877688,0.375,-26.071371,0.616,2,13.423,0.006,13.876,0.021,13.617,0.011,13.373,0.043,13.275,0.059
118.877707,0.734,-26.051711,0.351,2,13.9,0.012,14.351,0.02,14.06,0.023,13.782,0.023,13.833,0.161
118.879982,0.27,-25.985829,0.171,2,14.054,0.006,14.309,0.006,14.115,0.014,14.08,0.046,14.229,0.093
118.881673,0.322,-25.903125,0.537,2,13.453,0.017,13.664,0.008,13.487,0.018,13.501,0.02,13.586,0.033
118.882119,0.827,-26.042959,0.913,2,15.455,0.011,15.766,0.006,15.508,0.017,15.398,0.081,15.545,-0
118.88222,0.104,-25.918224,0.123,2,13.479,0.025,14.089,0.01,13.744,0.016,13.29,0.015,13.171,0.067
118.882678,0.634,-25.88592,0.587,2,15.155,0,15.629,0.006,15.314,0.016,15.055,0.006,15.141,0.047
118.88306,0.108,-25.962648,0.083,2,12.886,0.006,13.049,0,12.884,0.015,12.966,0.034,13.107,0.059
118.883071,0.964,-26.103964,1.071,2,16.042,-0,17.105,-0.103,16.518,0.054,15.851,0.019,NA,NA
118.883872,0.488,-25.874628,0.461,2,15.222,-0,16.118,-0,15.649,-0,14.915,0.011,NA,NA
118.884566,0.271,-25.82802,0.177,2,13.598,0.01,13.825,0.006,13.633,0.008,13.641,0.026,13.755,0.11
118.885818,0.633,-26.000292,0.932,2,14.863,0,15.302,0.015,14.999,0,14.819,0.029,14.848,0.355
118.886736,0.659,-26.065493,0.681,2,14.522,0.008,15.578,0.014,15.016,0.015,14.012,0.03,12.882,0.026
118.886774,1.384,-26.081986,0.618,2,15.37,0.101,16.292,-0.104,NA,NA,NA,NA,NA,NA
118.88693,0.276,-26.059278,0.124,2,13.446,0.006,13.881,0.012,13.612,0.017,13.354,0.032,13.348,0.077
118.88768,0.789,-26.081716,0.647,2,NA,NA,16.066,-0.048,15.733,-0,NA,NA,NA,NA
118.887868,1.249,-25.837077,1.103,2,16.627,-0,17.27,-0.129,17.082,-0,16.441,-0,NA,NA
118.888333,0.337,-25.956406,0.353,2,14.634,0.025,16.241,0.041,15.39,0.028,14.035,0,13.497,0.049
118.888422,0.06,-26.006658,0.075,2,11.515,0.01,11.665,0.006,11.521,0,11.573,0.032,11.736,0.048
118.88965,0.217,-25.89044,0.132,2,13.425,0.006,13.924,0.006,13.63,0.006,13.316,0.011,13.265,0.079
