radeg,raerr,decdeg,decerr,number_of_Obs,Johnson_V,Verr,Johnson_B,B_err,Sloan_g,gerr,Sloan_r,r_err,Sloan_i,i_err
154.948436,0.757,-60.160462,0.632,4,13.222,0,13.595,0,13.304,0.02,13.234,0.072,13.226,0.07
154.950069,0.459,-60.112809,1.004,3,14.409,0.077,15.098,0.026,14.693,0.04,14.215,0.033,14.037,0.075
154.951373,0.794,-60.141845,0.928,3,15.151,-0,15.893,-0,15.473,0.017,14.926,0.105,14.537,-0
154.9522,1.133,-60.181845,0.616,4,14.668,0.035,15.302,0.033,14.921,0.024,14.586,0.121,NA,NA
154.956018,1.267,-60.100411,1.074,3,15.631,0.073,16.327,0.094,15.921,0.016,15.547,0.075,15.554,0.206
154.959986,0.728,-60.068934,1.322,3,NA,NA,NA,NA,NA,NA,NA,NA,14.552,0.075
154.960208,0.974,-60.185638,1.062,3,14.927,0.062,15.57,0.043,15.236,0.037,14.759,0.021,14.53,0.012
154.96024,0.712,-60.158396,0.836,4,14.153,0.04,15.608,0.041,14.807,0.045,13.702,0.05,13.194,0.064
154.961572,0.973,-60.19549,0.692,4,15.16,0.064,15.999,0.05,15.531,0.065,15.006,0.092,14.83,0.321
154.963079,0.721,-60.077722,1.074,4,13.513,0.014,14.281,0.027,13.799,0.04,13.312,0.057,13.172,0.03
154.963458,0.691,-60.113656,1.356,3,15.465,0.023,16.144,0.056,15.71,-0,15.593,-0,15.468,0.22
154.968482,1.671,-60.203716,1.153,2,NA,NA,NA,NA,NA,NA,NA,NA,15.427,0.036
154.969511,1.305,-60.088032,1.026,2,14.622,0.113,16.019,0.04,15.253,0.141,14.108,0.082,13.62,0.036
154.97042,1.305,-60.087942,0.868,2,14.501,-0,15.918,-0,15.331,0.079,14.173,0.111,13.642,0.039
154.975926,0.463,-60.222093,0.901,4,14.743,0.018,15.572,0,15.156,0.036,14.619,0.125,14.357,0.168
154.976429,1.149,-60.122465,0.515,3,13.871,0.058,14.93,0.083,14.314,-0,13.565,-0,13,0.031
154.978186,0.829,-60.055792,0.564,2,14.861,0.023,15.946,0.01,15.383,0.028,14.498,0.067,NA,NA
154.9782,0.392,-60.069415,0.695,5,13.603,0.029,14.71,0.035,14.09,0.026,13.305,0.047,12.99,0.088
154.978231,0.538,-60.235571,0.618,5,11.678,0.03,12.918,0.008,12.241,0.032,11.314,0.069,10.943,0.106
154.979104,0.633,-60.032358,0.666,4,14.959,0.024,15.739,0.023,15.265,0.019,14.684,0.043,14.503,0.036
154.980426,0.591,-60.173961,0.824,4,15.277,0.047,16.189,0.061,15.633,0.038,15.037,0.065,14.741,0.132
154.980559,1.085,-60.049598,0.877,4,15.427,0.038,16.209,0.074,15.717,0.044,15.322,0.118,15.14,0.046
154.981319,0.964,-60.107472,0.731,3,15.839,0.052,16.625,0.062,16.105,0.077,15.806,0.251,15.452,-0
154.981439,0.67,-60.205909,0.682,4,13.866,0.021,14.436,0,14.082,0.034,13.797,0.144,13.722,0.078
154.982106,1.214,-60.189699,0.776,4,15.261,-0,16.842,-0,15.925,0.057,14.781,0.123,14.198,0.059
154.982529,0.517,-60.000857,0.553,3,13.854,0.023,14.375,0.016,14.05,0.006,13.729,0.023,13.638,0.028
154.982649,0.726,-60.112643,0.794,4,14.35,0.022,15.336,0.046,14.769,0.028,14.053,0.054,13.78,0.068
154.983019,1.122,-60.039843,0.744,4,14.338,0.043,15.224,0.023,14.767,0.052,13.819,0.07,12.833,0.093
154.98449,0.364,-60.015563,0.541,3,14.676,0.049,15.206,0.011,14.838,0.012,14.494,0.014,14.373,0.059
154.984672,0.798,-60.19552,0.954,4,13.614,0.03,13.933,0.014,13.685,0.021,13.629,0.06,13.628,0.134
154.986265,0.549,-60.246731,1.042,5,12.689,0.029,12.977,0.013,12.723,0.017,12.758,0.087,NA,NA
154.986973,1.419,-60.156472,0.853,4,15.511,0.088,16.374,0.118,15.821,0.051,15.466,0.052,14.998,-0
154.988064,0.869,-60.156413,0.461,2,15.73,-0,NA,NA,NA,NA,15.404,-0.06,NA,NA
154.988953,1.013,-60.145509,1.011,4,14.49,0.046,14.992,0.034,14.695,0.047,14.461,0.122,14.241,-0
154.989054,0.961,-60.06112,0.974,3,NA,NA,NA,NA,14.886,0.362,14.578,0.191,14.347,0.14
154.99139,1.035,-60.04644,0.628,3,15.674,0.018,16.303,0.034,15.954,0.053,15.419,0.04,15.443,-0
154.991829,1.324,-60.098733,0.884,3,15.326,0.01,16.11,0.031,15.599,0.039,15.108,-0,14.969,0.006
154.993492,0.529,-60.23433,1.027,2,16.119,-0,17.472,-0,16.672,0.177,15.856,-0,16.023,-0
154.993591,0.843,-60.121366,0.864,4,15.703,-0,16.265,0.008,15.899,0.051,15.585,0.234,15.228,-0
154.993739,0.544,-60.121041,1.51,3,15.682,-0,NA,NA,15.89,0.032,15.51,-0,15.545,0.072
154.993989,1.136,-60.233502,1.037,2,NA,NA,NA,NA,16.627,-0.085,16.183,0.343,NA,NA
154.994215,1.182,-60.253505,0.982,4,14.613,0.111,15.245,0.041,14.839,0.04,14.436,0.224,14.16,0.203
154.997772,1.011,-60.161203,1.095,2,16.076,0.026,16.699,0.063,16.364,0.043,15.841,0.103,15.493,-0
154.997773,0.445,-60.261605,1.008,4,14.311,0.02,15.663,0.056,14.894,0.039,13.906,0.063,13.541,0.194
154.998375,1.082,-60.224062,1.062,4,15.265,0.021,15.794,0.069,15.427,0.02,15.177,0.075,15.173,0.139
154.998874,0.646,-59.983838,0.997,2,15.579,-0,16.938,-0,16.233,0.064,15,0.053,14.598,0.006
155.000386,1.013,-60.168805,0.842,4,15.68,0.066,16.4,0.095,15.944,0.018,15.494,0.199,15.349,0.021
155.000484,1.233,-60.156158,0.944,3,NA,NA,NA,NA,16.508,-0.096,15.831,-0,15.073,0.098
